location,landmark_name,safety_type,operating_hours,is_24_7,last_verified
LRT-2 Gilmore Station,Nathaniel's,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Puregold,Well-Lit Zone,Unknown,No,2026-07
España Boulevard,RSS Drug & General Merchandise,Well-Lit Zone,Unknown,No,2026-07
Lacson Avenue,Chowking,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Army Navy,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Inasal Chicken Bacolod,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,BonChon,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Zark's Burger,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Krispy Kreme,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Police Community Precinct,Security Presence,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,German Espiritu Liner Cubao,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Beijing Tong Ren Tang,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Country Chicken,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,MedExpress,Well-Lit Zone,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,FamilyMart,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,Chowking,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Gilmore Station,Soy & Bean,High Foot Traffic,Mo-Su 08:00-20:00,No,2026-07
España Boulevard,Calabash Police Community Precinct,Security Presence,24/7,Yes,2026-07
España Boulevard,Batangas Lomi,24/7 Store,24/7,Yes,2026-07
Morayta Street,Jollibee,24/7 Store,24/7,Yes,2026-07
España Boulevard,ENALIN SIMON SILOG,High Foot Traffic,Mo-Su 10:00-22:00,No,2026-07
LRT-2 Gilmore Station,Watson's,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Unimart,Well-Lit Zone,Mo-Su 09:00-20:00,No,2026-07
LRT-2 Araneta-Cubao Station,Jollibee,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Mang Inasal,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Dada's Fried Itik,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Little Baguio - Romualdez,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Romualdez - Little Baguio,High Foot Traffic,Unknown,No,2026-07
LRT-2 V. Mapa Station,Mightee Mart,Well-Lit Zone,Unknown,No,2026-07
LRT-2 V. Mapa Station,Jollibee,High Foot Traffic,Unknown,No,2026-07
Hipodromo,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 J. Ruiz Station,Mercury Drug,Well-Lit Zone,Mo-Su 09:00-21:00,No,2026-07
LRT-2 Araneta-Cubao Station,Mercury Drug,Well-Lit Zone,Mo-Su 07:00-23:00,No,2026-07
LRT-2 Araneta-Cubao Station,Mercury Drug,Well-Lit Zone,Mo-Su 08:00-21:00,No,2026-07
LRT-2 Araneta-Cubao Station,Mercury Drug,Well-Lit Zone,Mo-Su 07:00-22:00,No,2026-07
Hipodromo,Mercury Drug,Well-Lit Zone,Mo-Su 07:00-22:00,No,2026-07
Hipodromo,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,Chowking,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Elar's Lechon,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Angus tapa centrale,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Generous & Joyous Ventures Inc.,High Foot Traffic,Unknown,No,2026-07
Recto Legarda,Police Station,Security Presence,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,McDonald's,High Foot Traffic,Unknown,No,2026-07
Recto Legarda,Watsons,Well-Lit Zone,Unknown,No,2026-07
Recto Legarda,Mr Kimbob,High Foot Traffic,Unknown,No,2026-07
LRT-2 V. Mapa Station,Teresa Street,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Aling Banang,High Foot Traffic,Unknown,No,2026-07
V. Mapa,Santa Mesa,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Burger King,High Foot Traffic,Mo-Su 06:00-24:00,No,2026-07
LRT-2 Araneta-Cubao Station,"AAA Pharma, Inc.",Well-Lit Zone,Unknown,No,2026-07
Hipodromo,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Gilmore Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
Anonas Street,K5 prohealth,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Gamot Publiko,Well-Lit Zone,Unknown,No,2026-07
España Boulevard,Police Community Precinct 1,Security Presence,Unknown,No,2026-07
España Boulevard,M. Peralta,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Imba Imbang Kainan,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Jasper Store and Eatery,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Aling Banang,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,clinsors,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Kuya Allan's Maki,High Foot Traffic,02:00+,No,2026-07
LRT-2 Gilmore Station,Pares,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Andok's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Police Community Precinct № 8,Security Presence,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Scott Hamburger,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Isetann Supermarket,Well-Lit Zone,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Burger King,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Tapsihan sa Don Egea,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Kamuning Police Post,Security Presence,Unknown,No,2026-07
Anonas Street,Kabayans Gotohan,24/7 Store,24/7,Yes,2026-07
Anonas Street,Tapsihan ni Don Egea,High Foot Traffic,Unknown,No,2026-07
Anonas Street,TGP,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Mang Inasal,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Dunkin' Donuts,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Robinsons Supermarket,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Mister Donut,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Lucky Swerte 88,Well-Lit Zone,Unknown,No,2026-07
España Boulevard,Bulalohan sa España,High Foot Traffic,Unknown,No,2026-07
Lacson Avenue,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 V. Mapa Station,TGP,Well-Lit Zone,Unknown,No,2026-07
España Boulevard,All About Baking,Well-Lit Zone,Unknown,No,2026-07
LRT-2 V. Mapa Station,Celebrity X Food Kiosk,High Foot Traffic,Unknown,No,2026-07
Hipodromo,Santo Domingo Church,High Foot Traffic,Unknown,No,2026-07
Hipodromo,Banawe Street,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Bánh Mì Kitchen,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Go Salads!,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Chooks To Go,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Dunkin',High Foot Traffic,Unknown,No,2026-07
LRT-2 V. Mapa Station,Puregold,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Ling Nam,High Foot Traffic,Unknown,No,2026-07
Stop & Shop,Chef Von,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Marketplace,Well-Lit Zone,Unknown,No,2026-07
NDC Compound,Tatay Pepe's Tapsilogan,High Foot Traffic,Unknown,No,2026-07
NDC Compound,Lugawan sa Hipodromo,High Foot Traffic,Unknown,No,2026-07
Earnshaw Street,Burger Machine,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,McDonald's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,The Marketplace,Well-Lit Zone,08:00-22:00,No,2026-07
LRT-2 J. Ruiz Station,SM Supermarket,Well-Lit Zone,Unknown,No,2026-07
Lacson Avenue,Dunkin',High Foot Traffic,Unknown,No,2026-07
Lacson Avenue,KFC,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Chowking,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Taco Bell,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Edm's Canteen,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Big Mak,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Potato Corner,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Botikalyn,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Loose Leaf,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Dexter's Pizza,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Conerbricks Barbeque House,High Foot Traffic,Unknown,No,2026-07
Anonas Street,Nid’s B’alot at Bilao atbp.,24/7 Store,24/7,Yes,2026-07
LRT-2 J. Ruiz Station,Convenience Store,24/7 Store,24/7,Yes,2026-07
LRT-2 V. Mapa Station,Sr. Pedro,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Dunkin',High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Dairy Queen,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,TGP,Well-Lit Zone,Unknown,No,2026-07
Anonas Street,Pizza Hut Express,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Baby Zita's Store,24/7 Store,24/7,Yes,2026-07
LRT-2 Gilmore Station,Carmen Eatery,High Foot Traffic,"08:30-12:30,15:30-20:00",No,2026-07
LRT-2 Gilmore Station,Mercy Bentelogan,24/7 Store,24/7,Yes,2026-07
LRT-2 J. Ruiz Station,TGP,Well-Lit Zone,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Dan's and Norm's Eatery,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,king am,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Boyet's Tapsilogan,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Connie’s Kitchen Deli,High Foot Traffic,Unknown,No,2026-07
Stop & Shop,Lawson,24/7 Store,24/7,Yes,2026-07
Stop & Shop,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Mama Dad's Grill Kitchen,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Maricor's Tapsilogan,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,AlJm eatery,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Aling Paz Store,24/7 Store,24/7,Yes,2026-07
LRT-2 Gilmore Station,Parkway Store,24/7 Store,24/7,Yes,2026-07
LRT-2 J. Ruiz Station,TGP,Well-Lit Zone,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Burger House,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Food Hub,High Foot Traffic,Mo-Su 11:00-23:00,No,2026-07
LRT-2 V. Mapa Station,Mang Inasal,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Zark's Burger,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Watsons,Well-Lit Zone,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Tokyo Tokyo,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,McDonald's,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,KFC,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Jollibee,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Greenwich,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Dunkin' Donuts,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Dairy Queen,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Classic Savory,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Chowking,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Bonchon,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Takehome Sushi,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Cinema Snackbar,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Wendy's,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Krispy Kreme,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Gilmore Station,Unknown,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Burger Machine,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Sunrise Buckets,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Bánh Mì Kitchen,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Ho-Land,Well-Lit Zone,Mo-Su 08:00-20:00,No,2026-07
LRT-2 Gilmore Station,Bacolod Lapaz Batchoy,High Foot Traffic,Unknown,No,2026-07
España Boulevard,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 V. Mapa Station,Mang Inasal,High Foot Traffic,Unknown,No,2026-07
LRT-2 V. Mapa Station,Jolly Friend,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Jollibee,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Sandugo,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Unknown,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Unknown,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,chooks to go,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Pansit ng taga Malabon,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,JBLR Food Hun,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Fast Food,High Foot Traffic,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Tapsilugan,High Foot Traffic,Unknown,No,2026-07
Anonas Street,TGP,Well-Lit Zone,Unknown,No,2026-07
Recto Avenue,Unknown,Well-Lit Zone,Unknown,No,2026-07
